거래일,종목코드,종목명,시장구분,시가,고가,저가,종가,거래량
20250319,196170,알테오젠,KOSDAQ,440500,446000,415500,419000,1008979
20250318,196170,알테오젠,KOSDAQ,453500,459500,424000,443500,2019144
20250317,196170,알테오젠,KOSDAQ,398500,440750,390500,439500,2053323
20250319,247540,에코프로비엠,KOSDAQ,111100,113400,110200,111900,466804
20250318,247540,에코프로비엠,KOSDAQ,111500,114100,110800,111300,542930
20250317,247540,에코프로비엠,KOSDAQ,113100,113700,110700,110800,526173
20250319,28300,HLB,KOSDAQ,75600,76600,69600,71900,3214306
20250318,28300,HLB,KOSDAQ,77100,77600,75200,76700,1172415
20250317,28300,HLB,KOSDAQ,73400,78000,73100,75600,2111602
20250319,86520,에코프로,KOSDAQ,60000,60700,59700,60200,485981
20250318,86520,에코프로,KOSDAQ,60300,61300,59300,60200,723594
20250317,86520,에코프로,KOSDAQ,59600,60200,58200,59900,736327
20250319,277810,레인보우로보틱스,KOSDAQ,321000,322000,303000,308500,588360
20250318,277810,레인보우로보틱스,KOSDAQ,319500,331500,315000,324000,376882
20250317,277810,레인보우로보틱스,KOSDAQ,320000,328500,313000,319000,383213
20250319,950160,코오롱티슈진,KOSDAQ,57200,57900,54200,56200,682105
20250318,950160,코오롱티슈진,KOSDAQ,49450,58000,49250,56600,1145698
20250317,950160,코오롱티슈진,KOSDAQ,51900,51900,48750,49450,660233
20250319,250,삼천당제약,KOSDAQ,189300,190500,180400,180500,407144
20250318,250,삼천당제약,KOSDAQ,190800,194500,188600,188600,253378
20250317,250,삼천당제약,KOSDAQ,191500,194900,190100,190800,217276
20250319,145020,휴젤,KOSDAQ,335000,337000,329500,330500,27568
20250318,145020,휴젤,KOSDAQ,332000,337000,321500,333500,59842
20250317,145020,휴젤,KOSDAQ,333000,338000,326500,329000,62708
20250319,141080,리가켐바이오,KOSDAQ,106200,108200,103100,103700,288337
20250318,141080,리가켐바이오,KOSDAQ,107700,108400,105700,106600,345564
20250317,141080,리가켐바이오,KOSDAQ,103400,108400,101500,107800,541372
20250319,214150,클래시스,KOSDAQ,60500,60800,57400,57400,536009
20250318,214150,클래시스,KOSDAQ,60900,62000,59600,60400,422420
20250317,214150,클래시스,KOSDAQ,61600,62000,60000,60000,309834
20250319,214450,파마리서치,KOSDAQ,330000,330500,314500,315000,76298
20250318,214450,파마리서치,KOSDAQ,327000,334000,318000,328500,52504
20250317,214450,파마리서치,KOSDAQ,340000,345000,324000,326000,95057
20250319,58470,리노공업,KOSDAQ,210000,217000,209500,211500,69888
20250318,58470,리노공업,KOSDAQ,218000,220000,210500,212500,75121
20250317,58470,리노공업,KOSDAQ,219000,223000,216500,220000,89568
20250319,310210,보로노이,KOSDAQ,137400,138500,127700,128400,176920
20250318,310210,보로노이,KOSDAQ,132700,140200,130300,137000,237812
20250317,310210,보로노이,KOSDAQ,137300,137300,126000,131100,299319
20250319,403870,HPSP,KOSDAQ,27600,28300,27600,27700,412230
