거래일,종목코드,종목명,시장구분,시가,고가,저가,종가,거래량
20250319,196170,알테오젠,KOSDAQ,440500,446000,415500,419000,1008979
20250319,247540,에코프로비엠,KOSDAQ,111100,113400,110200,111900,466804
20250319,028300,HLB,KOSDAQ,75600,76600,69600,71900,3214306
20250319,086520,에코프로,KOSDAQ,60000,60700,59700,60200,485981
20250319,277810,레인보우로보틱스,KOSDAQ,321000,322000,303000,308500,588360
20250319,950160,코오롱티슈진,KOSDAQ,57200,57900,54200,56200,682105
20250319,000250,삼천당제약,KOSDAQ,189300,190500,180400,180500,407144
20250319,145020,휴젤,KOSDAQ,335000,337000,329500,330500,27568
20250319,141080,리가켐바이오,KOSDAQ,106200,108200,103100,103700,288337
20250319,214150,클래시스,KOSDAQ,60500,60800,57400,57400,536009
20250319,214450,파마리서치,KOSDAQ,330000,330500,314500,315000,76298
20250319,058470,리노공업,KOSDAQ,210000,217000,209500,211500,69888
20250319,310210,보로노이,KOSDAQ,137400,138500,127700,128400,176920
20250319,403870,HPSP,KOSDAQ,27600,28300,27600,27700,412230
20250319,041510,에스엠,KOSDAQ,94000,101500,94000,100000,290232
20250319,068760,셀트리온제약,KOSDAQ,53900,55000,53600,54300,120363
20250319,035900,JYP Ent.,KOSDAQ,63000,63800,62250,62800,1052134
20250319,087010,펩트론,KOSDAQ,95000,96100,91700,92100,225146
20250319,298380,에이비엘바이오,KOSDAQ,40600,44350,40200,40550,1911660
20250319,263750,펄어비스,KOSDAQ,30300,30650,30200,30450,112647
20250319,036930,주성엔지니어링,KOSDAQ,38150,39500,37800,38950,1063625
20250319,065350,신성델타테크,KOSDAQ,67000,67500,66200,66700,160509
20250319,348370,엔켐,KOSDAQ,80100,84200,79000,82100,330217
20250319,039030,이오테크닉스,KOSDAQ,141600,144400,138600,140600,86580
20250319,328130,루닛,KOSDAQ,58900,60400,57600,59700,528820
20250319,005290,동진쎄미켐,KOSDAQ,30450,32900,30300,32350,1958047
20250319,078600,대주전자재료,KOSDAQ,104500,108600,103800,106400,184663
20250319,257720,실리콘투,KOSDAQ,26350,26950,26300,26650,569278
20250319,357780,솔브레인,KOSDAQ,200500,209500,199400,204500,30104
20250319,237690,에스티팜,KOSDAQ,77000,77900,76000,76200,98625
20250319,089030,테크윙,KOSDAQ,38750,39650,38200,39150,636796
20250319,214370,케어젠,KOSDAQ,27200,27200,26500,27000,23415
20250319,082270,젬백스,KOSDAQ,38550,38900,35000,35800,1139424
20250319,253450,스튜디오드래곤,KOSDAQ,46550,47650,46100,47300,97445
20250319,140860,파크시스템스,KOSDAQ,203500,207000,201500,202000,11416
20250319,042000,카페24,KOSDAQ,59200,60900,56600,56800,349933
20250319,095340,ISC,KOSDAQ,62700,64000,61900,62600,129886
20250319,293490,카카오게임즈,KOSDAQ,15590,15770,15590,15740,121118
20250319,096530,씨젠,KOSDAQ,24750,24850,24500,24600,100991
20250319,240810,원익IPS,KOSDAQ,25400,26250,25400,26050,171521
20250319,018290,브이티,KOSDAQ,35500,37300,35200,35650,806097
20250319,178320,서진시스템,KOSDAQ,22500,22850,22450,22550,216441
20250319,039200,오스코텍,KOSDAQ,31750,31950,31050,31750,132767
20250319,035760,CJ ENM,KOSDAQ,54900,55900,54900,55200,40392
20250319,122870,와이지엔터테인먼트,KOSDAQ,62100,64100,62100,63100,180432
20250319,098460,고영,KOSDAQ,16120,16420,15870,16010,1623067
20250319,067630,HLB생명과학,KOSDAQ,9400,9460,8840,9000,1025295
20250319,007390,네이처셀,KOSDAQ,16690,17100,16350,16990,388524
20250319,064760,티씨케이,KOSDAQ,90600,92400,89400,91500,44220
20250319,281740,레이크머티리얼즈,KOSDAQ,16190,16350,15760,16210,653955
20250319,232140,와이씨,KOSDAQ,11690,13470,11610,12950,14639839
20250319,112040,위메이드,KOSDAQ,31000,32800,30900,31150,444814
20250319,137400,피엔티,KOSDAQ,43150,44550,43100,44050,146776
20250319,195940,HK이노엔,KOSDAQ,36250,36950,36150,36900,99429
20250319,160190,하이젠알앤엠,KOSDAQ,36100,36150,32950,32950,592805
20250319,067160,SOOP,KOSDAQ,84500,86900,84000,86400,108529
20250319,204270,제이앤티씨,KOSDAQ,17750,17850,17120,17150,591596
20250319,084370,유진테크,KOSDAQ,42000,43850,41700,43200,118698
20250319,086900,메디톡스,KOSDAQ,136000,136700,133500,133900,41530
20250319,376300,디어유,KOSDAQ,39000,40500,38700,39950,342277
20250319,031980,피에스케이홀딩스,KOSDAQ,41700,44450,41050,43900,462296
20250319,161580,필옵틱스,KOSDAQ,42750,43650,40400,40600,1584658
20250319,078130,국일제지,KOSDAQ,800,800,800,800,0
20250319,417200,LS머트리얼즈,KOSDAQ,12980,13060,12560,12820,547714
20250319,053800,안랩,KOSDAQ,78600,79600,76800,77600,54775
20250319,323280,태성,KOSDAQ,29150,29500,28150,28350,334103
20250319,121600,나노신소재,KOSDAQ,69800,70900,69100,69800,29539
20250319,047920,HLB제약,KOSDAQ,27150,27550,25050,25850,1065907
20250319,225570,넥슨게임즈,KOSDAQ,12160,12440,12160,12340,240128
20250319,226950,올릭스,KOSDAQ,46350,48700,42950,43400,782452
20250319,067310,하나마이크론,KOSDAQ,11560,12200,11480,12130,1240859
20250319,014620,성광벤드,KOSDAQ,28950,28950,28100,28150,303917
20250319,101490,에스앤에스텍,KOSDAQ,34300,36650,34100,36400,341078
20250319,140410,메지온,KOSDAQ,26300,26900,25800,25950,61051
20250319,213420,덕산네오룩스,KOSDAQ,28950,30250,28700,29750,148399
20250319,166090,하나머티리얼즈,KOSDAQ,36250,37100,35700,36950,221005
20250319,033500,동성화인텍,KOSDAQ,25000,25600,24200,24200,647665
20250319,058970,엠로,KOSDAQ,61600,62900,58900,59400,173839
20250319,056190,에스에프에이,KOSDAQ,19680,20250,19680,20150,153575
20250319,388720,유일로보틱스,KOSDAQ,64700,64700,60500,63000,264282
20250319,222800,심텍,KOSDAQ,20550,23900,20350,22400,4368830
20250319,440110,파두,KOSDAQ,13700,14040,13610,13920,96614
20250319,036830,솔브레인홀딩스,KOSDAQ,31950,32600,31600,32550,41077
20250319,358570,지아이이노베이션,KOSDAQ,15720,16300,15080,15290,760435
20250319,086450,동국제약,KOSDAQ,15060,15180,15020,15120,114863
20250319,101730,위메이드맥스,KOSDAQ,7990,8780,7930,8070,262344
20250319,085660,차바이오텍,KOSDAQ,11700,11900,11700,11780,87230
20250319,115450,HLB테라퓨틱스,KOSDAQ,8090,8220,7650,7820,869329
20250319,340570,티앤엘,KOSDAQ,83300,84200,80600,80800,78159
20250319,023160,태광,KOSDAQ,25000,25300,24250,24550,256148
20250319,082920,비츠로셀,KOSDAQ,28400,28850,27500,28250,140127
20250319,222080,씨아이에스,KOSDAQ,8080,8150,7990,8140,469095
20250319,383310,에코프로에이치엔,KOSDAQ,28800,29600,28500,29500,76335
20250319,319660,피에스케이,KOSDAQ,19660,21250,19520,21200,505403
20250319,348210,넥스틴,KOSDAQ,58000,59300,57500,58300,46816
20250319,009520,포스코엠텍,KOSDAQ,14430,14860,14350,14570,431818
20250319,099320,쎄트렉아이,KOSDAQ,57000,57800,55200,55400,120442
20250319,033100,제룡전기,KOSDAQ,38300,38450,37400,37500,135408
20250319,083650,비에이치아이,KOSDAQ,19310,19980,19230,19440,1123002
20250319,025320,시노펙스,KOSDAQ,6620,7470,6570,6830,10248458
20250319,003380,하림지주,KOSDAQ,5200,5470,5200,5300,227136
20250319,460930,현대힘스,KOSDAQ,16990,17000,16500,16650,198080
20250319,399720,가온칩스,KOSDAQ,49850,50900,49700,50500,91649
20250319,183300,코미코,KOSDAQ,55200,57900,54900,55900,176865
20250319,131970,두산테스나,KOSDAQ,29250,30400,29050,29950,111416
20250319,048410,현대바이오,KOSDAQ,11850,11960,11800,11870,125619
20250319,251970,펌텍코리아,KOSDAQ,46500,47000,45250,45900,41774
20250319,078340,컴투스,KOSDAQ,45600,45600,44100,44550,54183
20250319,058610,에스피지,KOSDAQ,25750,25800,25200,25500,139729
20250319,347850,디앤디파마텍,KOSDAQ,54100,54900,53300,53500,111730
20250319,336570,원텍,KOSDAQ,6360,6400,6190,6320,727532
20250319,220100,퓨쳐켐,KOSDAQ,25300,25800,24750,25200,409347
20250319,131290,티에스이,KOSDAQ,49100,51500,48500,49900,38474
20250319,074600,원익QnC,KOSDAQ,20050,21300,19960,20900,284352
20250319,084110,휴온스글로벌,KOSDAQ,44200,44400,42900,42900,59585
20250319,060370,LS마린솔루션,KOSDAQ,16650,16740,16400,16450,76381
20250319,080220,제주반도체,KOSDAQ,15110,15890,14850,15540,1777795
20250319,041190,우리기술투자,KOSDAQ,6200,6350,6200,6350,395389
20250319,036540,SFA반도체,KOSDAQ,3140,3240,3135,3205,488420
20250319,475830,오름테라퓨틱,KOSDAQ,26700,27500,24600,25100,1422081
20250319,053030,바이넥스,KOSDAQ,16190,16280,15790,16060,296804
20250319,025900,동화기업,KOSDAQ,10170,10400,10110,10340,200913
20250319,025980,아난티,KOSDAQ,5860,5900,5780,5800,273411
20250319,317330,덕산테코피아,KOSDAQ,25400,25750,24600,24850,265289
20250319,466100,클로봇,KOSDAQ,21000,21350,20000,20400,2766177
20250319,253590,네오셈,KOSDAQ,11100,11570,10960,11380,988340
20250319,272290,이녹스첨단소재,KOSDAQ,24600,24900,24500,24650,156255
20250319,101360,에코앤드림,KOSDAQ,28000,28350,27450,27750,135242
20250319,052020,에스티큐브,KOSDAQ,7230,7320,7090,7240,103443
20250319,030520,한글과컴퓨터,KOSDAQ,20150,20300,19990,20300,170531
20250319,036810,에프에스티,KOSDAQ,22350,22900,22050,22500,166303
20250319,290650,엘앤씨바이오,KOSDAQ,21400,21550,20950,21400,54627
20250319,079370,제우스,KOSDAQ,15310,15570,15190,15390,327503
20250319,194480,데브시스터즈,KOSDAQ,36750,39750,36750,39250,164582
20250319,335890,비올,KOSDAQ,8170,8180,8030,8080,352993
20250319,095610,테스,KOSDAQ,23000,24350,22950,23600,344375
20250319,241710,코스메카코리아,KOSDAQ,44050,44200,43100,43500,64915
20250319,095660,네오위즈,KOSDAQ,21200,21250,20850,21250,47017
20250319,200670,휴메딕스,KOSDAQ,42400,42750,40950,41350,152671
20250319,069080,웹젠,KOSDAQ,13300,13460,13160,13400,128325
20250319,108490,로보티즈,KOSDAQ,36300,36850,34050,34650,3067474
20250319,089010,켐트로닉스,KOSDAQ,30900,31200,29050,29600,1852900
20250319,050890,쏠리드,KOSDAQ,7460,7730,7380,7390,6139555
20250319,029960,코엔텍,KOSDAQ,8880,8910,8850,8880,422828
20250319,102940,코오롱생명과학,KOSDAQ,36300,36800,33800,35600,120001
20250319,094170,동운아나텍,KOSDAQ,23350,23900,22800,23100,472611
20250319,189300,인텔리안테크,KOSDAQ,41300,42100,40700,40850,60131
20250319,171090,선익시스템,KOSDAQ,45900,47300,45450,45950,92760
20250319,099190,아이센스,KOSDAQ,15500,15750,15430,15750,39719
20250319,218410,RFHIC,KOSDAQ,16100,17090,15990,16370,217037
20250319,179900,유티아이,KOSDAQ,24300,24300,23600,23950,44891
20250319,015750,성우하이텍,KOSDAQ,5330,5400,5270,5370,305648
20250319,099430,바이오플러스,KOSDAQ,7450,7470,7130,7170,1201140
20250319,206650,유바이오로직스,KOSDAQ,11700,11830,11670,11700,114122
20250319,365340,성일하이텍,KOSDAQ,35050,35500,34700,35150,16837
20250319,032190,다우데이타,KOSDAQ,10690,11120,10690,11120,50775
20250319,214430,아이쓰리시스템,KOSDAQ,59100,60700,58400,59600,38718
20250319,319400,현대무벡스,KOSDAQ,3590,3630,3540,3590,423802
20250319,025950,동신건설,KOSDAQ,55300,55700,49850,50300,451557
20250319,352480,씨앤씨인터내셔널,KOSDAQ,45100,47750,40850,41800,864432
20250319,455900,엔젤로보틱스,KOSDAQ,28500,28800,27800,27900,126510
20250319,064550,바이오니아,KOSDAQ,15980,16740,15980,16170,175943
20250319,215200,메가스터디교육,KOSDAQ,38150,38900,38000,38700,14523
20250319,228760,지노믹트리,KOSDAQ,17480,17480,16920,17040,134187
20250319,051980,중앙첨단소재,KOSDAQ,4170,4340,4015,4060,2571918
20250319,052400,코나아이,KOSDAQ,28900,29050,27600,27900,280283
20250319,034950,한국기업평가,KOSDAQ,89700,89700,88600,89000,2202
20250319,091700,파트론,KOSDAQ,7000,7050,6980,7050,149323
20250319,372320,큐로셀,KOSDAQ,28850,29200,28050,28150,46013
20250319,046890,서울반도체,KOSDAQ,6680,6780,6650,6770,175725
20250319,378340,필에너지,KOSDAQ,18390,19660,17930,18540,3689642
20250319,200130,콜마비앤에이치,KOSDAQ,13160,13420,13150,13230,112321
20250319,314930,바이오다인,KOSDAQ,13350,13680,13010,13070,91406
20250319,215000,골프존,KOSDAQ,60800,61800,60400,61800,14721
20250319,176750,듀켐바이오,KOSDAQ,12790,13980,12750,13550,629079
20250319,060280,큐렉소,KOSDAQ,9730,10860,9290,9380,2489253
20250319,083450,GST,KOSDAQ,21400,21700,20850,20900,535312
20250319,420770,기가비스,KOSDAQ,28650,30100,28600,29800,32328
20250319,068240,다원시스,KOSDAQ,9800,9890,9730,9850,99234
20250319,006730,서부T&D,KOSDAQ,5560,5700,5560,5690,122838
20250319,030530,원익홀딩스,KOSDAQ,4825,5060,4785,4845,5182764
20250319,397030,에이프릴바이오,KOSDAQ,17440,17700,16580,16640,325937
20250319,039440,에스티아이,KOSDAQ,22050,23800,21700,23550,858583
20250319,094360,칩스앤미디어,KOSDAQ,17650,17890,17420,17880,110945
20250319,278280,천보,KOSDAQ,37050,37650,36700,37150,17610
