거래일,종목코드,종목명,시장구분,시가,고가,저가,종가,거래량
20250319,5930,삼성전자,KOSPI,57400,59200,57400,58500,29421759
20250318,5930,삼성전자,KOSPI,58800,59000,57300,57600,28138594
20250317,5930,삼성전자,KOSPI,55500,57800,55400,57600,35559021
20250319,660,SK하이닉스,KOSPI,202000,209500,201000,205500,3102000
20250318,660,SK하이닉스,KOSPI,208500,209000,201000,203000,2696191
20250317,660,SK하이닉스,KOSPI,207000,209500,203500,206000,2584679
20250319,373220,LG에너지솔루션,KOSPI,326000,333000,325000,330500,251845
20250318,373220,LG에너지솔루션,KOSPI,326500,332000,325000,325000,184156
20250317,373220,LG에너지솔루션,KOSPI,328000,330500,325000,325000,255211
20250319,207940,삼성바이오로직스,KOSPI,1091000,1102000,1075000,1079000,39165
20250318,207940,삼성바이오로직스,KOSPI,1077000,1088000,1067000,1084000,44633
20250317,207940,삼성바이오로직스,KOSPI,1062000,1069000,1050000,1069000,53864
20250319,5380,현대차,KOSPI,201000,204000,199000,204000,520541
20250318,5380,현대차,KOSPI,199500,202000,199300,200500,505699
20250317,5380,현대차,KOSPI,198400,199000,195300,199000,369290
20250319,68270,셀트리온,KOSPI,187300,189000,186900,187200,317459
20250318,68270,셀트리온,KOSPI,188500,190700,187200,187400,448355
20250317,68270,셀트리온,KOSPI,187900,188200,184200,187800,414566
20250319,5935,삼성전자우,KOSPI,48000,49000,47800,48600,1978492
20250318,5935,삼성전자우,KOSPI,48700,48850,47600,47900,2218996
20250317,5935,삼성전자우,KOSPI,45900,47700,45850,47450,2269492
20250319,270,기아,KOSPI,96500,97200,95500,97100,1094424
20250318,270,기아,KOSPI,93300,96400,93300,96400,2228720
20250317,270,기아,KOSPI,99700,100100,98200,98800,1892886
20250319,12450,한화에어로스페이스,KOSPI,771000,774000,746000,756000,390302
20250318,12450,한화에어로스페이스,KOSPI,764000,781000,746000,764000,468996
20250317,12450,한화에어로스페이스,KOSPI,714000,757000,709000,753000,666106
20250319,35420,NAVER,KOSPI,208000,211500,207500,208000,710932
20250318,35420,NAVER,KOSPI,211000,214000,208000,209000,669726
20250317,35420,NAVER,KOSPI,210000,211000,207500,211000,481843
20250319,105560,KB금융,KOSPI,80800,81700,80400,81200,907656
20250318,105560,KB금융,KOSPI,79900,81100,79800,80200,1164823
20250317,105560,KB금융,KOSPI,79100,79900,78400,78900,804423
20250319,329180,HD현대중공업,KOSPI,316500,319000,309000,311000,236502
20250318,329180,HD현대중공업,KOSPI,314500,319500,308500,316500,361480
20250317,329180,HD현대중공업,KOSPI,309000,317000,303000,315000,356056
20250319,5490,POSCO홀딩스,KOSPI,305000,318000,305000,312500,436098
20250318,5490,POSCO홀딩스,KOSPI,309000,314000,305000,305000,278184
20250317,5490,POSCO홀딩스,KOSPI,304500,314000,304500,307000,328872
20250319,12330,현대모비스,KOSPI,264000,272000,263500,270000,342647
20250318,12330,현대모비스,KOSPI,259500,265500,258500,264000,222834
20250317,12330,현대모비스,KOSPI,255000,259500,254000,259500,159986
20250319,42660,한화오션,KOSPI,82900,84300,79750,80100,5717348
20250318,42660,한화오션,KOSPI,79100,82200,78600,81400,9087386
20250317,42660,한화오션,KOSPI,73800,77400,73400,76300,5731492
20250319,55550,신한지주,KOSPI,46550,47500,46500,47250,988729
20250318,55550,신한지주,KOSPI,46700,47500,46500,46550,1051074
20250317,55550,신한지주,KOSPI,46100,46600,45900,46550,1005906
20250319,138040,메리츠금융지주,KOSPI,119000,120400,118500,120100,204272
20250318,138040,메리츠금융지주,KOSPI,118600,119400,117800,118800,160325
20250317,138040,메리츠금융지주,KOSPI,115900,118500,115900,117700,176826
20250319,28260,삼성물산,KOSPI,122300,124200,122300,123200,162004
20250318,28260,삼성물산,KOSPI,124000,124100,121900,122300,177144
20250317,28260,삼성물산,KOSPI,120500,124500,120500,123500,373791
20250319,35720,카카오,KOSPI,44000,44375,43100,43300,1642570
20250318,35720,카카오,KOSPI,43700,45050,43500,44000,2475410
20250317,35720,카카오,KOSPI,43500,43850,42300,43500,1693348
20250319,810,삼성화재,KOSPI,394500,398000,393000,397500,84233
20250318,810,삼성화재,KOSPI,393000,395000,389000,394500,52183
20250317,810,삼성화재,KOSPI,380500,388000,379500,388000,57489
20250319,96770,SK이노베이션,KOSPI,126100,128300,123300,124600,316698
20250318,96770,SK이노베이션,KOSPI,127100,128000,125200,126100,181875
20250317,96770,SK이노베이션,KOSPI,130600,132000,125200,126200,369244
20250319,86790,하나금융지주,KOSPI,61500,62200,61200,62000,626136
20250318,86790,하나금융지주,KOSPI,61700,62300,60900,61100,783093
20250317,86790,하나금융지주,KOSPI,60300,61000,60200,61000,699956
20250319,11200,HMM,KOSPI,20850,20900,20000,20000,2390038
20250318,11200,HMM,KOSPI,20950,21150,20700,20800,1527052
20250317,11200,HMM,KOSPI,20650,20900,20550,20850,1346575
20250319,10130,고려아연,KOSPI,882000,891000,820000,827000,45865
20250318,10130,고려아연,KOSPI,894000,910000,875000,882000,20798
20250317,10130,고려아연,KOSPI,924000,948000,878000,893000,42153
20250319,51910,LG화학,KOSPI,237000,251500,236500,242000,611502
20250318,51910,LG화학,KOSPI,237500,243000,231500,231500,222768
20250317,51910,LG화학,KOSPI,233500,240500,232500,235000,214597
20250319,32830,삼성생명,KOSPI,84100,85700,83900,85300,238416
20250318,32830,삼성생명,KOSPI,83200,85000,82900,84100,311864
20250317,32830,삼성생명,KOSPI,83100,83300,81600,82600,248719
20250319,34020,두산에너빌리티,KOSPI,26050,27400,26000,26600,15416506
20250318,34020,두산에너빌리티,KOSPI,25300,26200,24750,25800,9464041
20250317,34020,두산에너빌리티,KOSPI,27100,27100,25550,25600,12152675
20250319,259960,크래프톤,KOSPI,351000,356000,344000,348000,162501
20250318,259960,크래프톤,KOSPI,358500,361000,346500,351000,155238
20250317,259960,크래프톤,KOSPI,359000,359500,344500,357500,157264
20250319,9540,HD한국조선해양,KOSPI,221000,223000,217500,219000,218004
20250318,9540,HD한국조선해양,KOSPI,218500,224500,218000,220500,259810
20250317,9540,HD한국조선해양,KOSPI,214500,218000,213000,216500,232866
20250319,15760,한국전력,KOSPI,21800,22000,21650,21850,1020319
20250318,15760,한국전력,KOSPI,22150,22200,21600,21750,1528700
20250317,15760,한국전력,KOSPI,22300,22400,21800,22150,1344995
20250319,66570,LG전자,KOSPI,81600,82400,81100,81900,574156
20250318,66570,LG전자,KOSPI,82300,82800,80500,80700,579314
20250317,66570,LG전자,KOSPI,82200,84400,81200,82100,786495
20250319,10140,삼성중공업,KOSPI,15480,15840,15120,15210,17296217
20250318,10140,삼성중공업,KOSPI,14970,15450,14860,15440,26324577
20250317,10140,삼성중공업,KOSPI,14430,15140,14260,14790,20321168
20250319,6400,삼성SDI,KOSPI,190500,195000,190500,191900,773601
20250318,6400,삼성SDI,KOSPI,191400,195900,190650,190800,756405
20250317,6400,삼성SDI,KOSPI,191200,192600,186800,190400,956353
20250319,30200,KT,KOSPI,49800,50900,49700,50700,498981
20250318,30200,KT,KOSPI,49800,50000,49500,49500,292814
20250317,30200,KT,KOSPI,49250,49900,49150,49800,345293
20250319,402340,SK스퀘어,KOSPI,92800,96850,91400,94700,246360
20250318,402340,SK스퀘어,KOSPI,94200,96200,93600,93800,198850
20250317,402340,SK스퀘어,KOSPI,94000,94600,92500,93600,210333
20250319,24110,기업은행,KOSPI,15810,15840,15700,15800,1220495
20250318,24110,기업은행,KOSPI,15730,15870,15730,15800,1272001
20250317,24110,기업은행,KOSPI,15730,15840,15720,15800,1047633
20250319,267260,HD현대일렉트릭,KOSPI,356000,362000,346000,346000,208321
20250318,267260,HD현대일렉트릭,KOSPI,358500,371500,356500,361000,234457
20250317,267260,HD현대일렉트릭,KOSPI,345500,361000,345000,359000,334627
20250319,316140,우리금융지주,KOSPI,16580,16740,16550,16680,1600855
20250318,316140,우리금융지주,KOSPI,16460,16660,16460,16540,1247855
20250317,316140,우리금융지주,KOSPI,16140,16470,16100,16470,1726005
20250319,64350,현대로템,KOSPI,112800,116800,110000,112500,2273077
20250318,64350,현대로템,KOSPI,109000,110900,105100,110900,1842642
20250317,64350,현대로템,KOSPI,103700,109300,102200,109000,2334779
20250319,17670,SK텔레콤,KOSPI,56000,56700,55800,56700,482354
20250318,17670,SK텔레콤,KOSPI,55700,56200,55500,55900,419298
20250317,17670,SK텔레콤,KOSPI,55600,55800,55400,55800,550101
20250319,33780,KT&G,KOSPI,97400,98300,96800,97500,225467
20250318,33780,KT&G,KOSPI,96400,98100,96000,96800,237595
20250317,33780,KT&G,KOSPI,95400,96300,94800,96300,183054
20250319,323410,카카오뱅크,KOSPI,23300,23750,23300,23650,359084
20250318,323410,카카오뱅크,KOSPI,23900,24000,23300,23300,464766
20250317,323410,카카오뱅크,KOSPI,23200,23600,23050,23600,426778
20250319,3550,LG,KOSPI,69000,71300,69000,70200,460270
20250318,3550,LG,KOSPI,68300,68900,68300,68800,197001
20250317,3550,LG,KOSPI,67800,68800,67700,68600,260197
20250319,3670,포스코퓨처엠,KOSPI,136900,146200,136200,142200,425808
20250318,3670,포스코퓨처엠,KOSPI,136500,141900,136500,137500,258709
20250317,3670,포스코퓨처엠,KOSPI,137900,139300,135000,135900,254329
20250319,9150,삼성전기,KOSPI,136600,138800,136400,138000,156085
20250318,9150,삼성전기,KOSPI,140600,140800,136500,137100,211056
20250317,9150,삼성전기,KOSPI,138100,142400,138100,139800,323118
20250319,100,유한양행,KOSPI,126700,128500,126100,127800,563585
20250318,100,유한양행,KOSPI,126100,127300,124800,126500,637371
20250317,100,유한양행,KOSPI,125400,127800,124050,125700,658842
20250319,34730,SK,KOSPI,137600,139400,137500,138400,124155
20250318,34730,SK,KOSPI,137900,139400,137300,137400,74702
20250317,34730,SK,KOSPI,138100,138700,137100,138200,84352
20250319,47050,포스코인터내셔널,KOSPI,56500,57600,55600,56600,1014974
