거래일,종목코드,종목명,시장구분,시가,고가,저가,종가,거래량
20250319,005930,삼성전자,KOSPI,57400,59200,57400,58500,29421759
20250319,000660,SK하이닉스,KOSPI,202000,209500,201000,205500,3102000
20250319,373220,LG에너지솔루션,KOSPI,326000,333000,325000,330500,251845
20250319,207940,삼성바이오로직스,KOSPI,1091000,1102000,1075000,1079000,39165
20250319,005380,현대차,KOSPI,201000,204000,199000,204000,520541
20250319,068270,셀트리온,KOSPI,187300,189000,186900,187200,317459
20250319,005935,삼성전자우,KOSPI,48000,49000,47800,48600,1978492
20250319,000270,기아,KOSPI,96500,97200,95500,97100,1094424
20250319,012450,한화에어로스페이스,KOSPI,771000,774000,746000,756000,390302
20250319,035420,NAVER,KOSPI,208000,211500,207500,208000,710932
20250319,105560,KB금융,KOSPI,80800,81700,80400,81200,907656
20250319,329180,HD현대중공업,KOSPI,316500,319000,309000,311000,236502
20250319,005490,POSCO홀딩스,KOSPI,305000,318000,305000,312500,436098
20250319,012330,현대모비스,KOSPI,264000,272000,263500,270000,342647
20250319,042660,한화오션,KOSPI,82900,84300,79750,80100,5717348
20250319,055550,신한지주,KOSPI,46550,47500,46500,47250,988729
20250319,138040,메리츠금융지주,KOSPI,119000,120400,118500,120100,204272
20250319,028260,삼성물산,KOSPI,122300,124200,122300,123200,162004
20250319,035720,카카오,KOSPI,44000,44375,43100,43300,1642570
20250319,000810,삼성화재,KOSPI,394500,398000,393000,397500,84233
20250319,096770,SK이노베이션,KOSPI,126100,128300,123300,124600,316698
20250319,086790,하나금융지주,KOSPI,61500,62200,61200,62000,626136
20250319,011200,HMM,KOSPI,20850,20900,20000,20000,2390038
20250319,010130,고려아연,KOSPI,882000,891000,820000,827000,45865
20250319,051910,LG화학,KOSPI,237000,251500,236500,242000,611502
20250319,032830,삼성생명,KOSPI,84100,85700,83900,85300,238416
20250319,034020,두산에너빌리티,KOSPI,26050,27400,26000,26600,15416506
20250319,259960,크래프톤,KOSPI,351000,356000,344000,348000,162501
20250319,009540,HD한국조선해양,KOSPI,221000,223000,217500,219000,218004
20250319,015760,한국전력,KOSPI,21800,22000,21650,21850,1020319
20250319,066570,LG전자,KOSPI,81600,82400,81100,81900,574156
20250319,010140,삼성중공업,KOSPI,15480,15840,15120,15210,17296217
20250319,006400,삼성SDI,KOSPI,190500,195000,190500,191900,773601
20250319,030200,KT,KOSPI,49800,50900,49700,50700,498981
20250319,402340,SK스퀘어,KOSPI,92800,96850,91400,94700,246360
20250319,024110,기업은행,KOSPI,15810,15840,15700,15800,1220495
20250319,267260,HD현대일렉트릭,KOSPI,356000,362000,346000,346000,208321
20250319,316140,우리금융지주,KOSPI,16580,16740,16550,16680,1600855
20250319,064350,현대로템,KOSPI,112800,116800,110000,112500,2273077
