거래일,종목코드,종목명,시장구분,시가,고가,저가,종가,거래량
20250319,20,동화약품,KOSPI,6230,6240,6050,6170,36616
20250319,40,KR모터스,KOSPI,386,391,383,385,155731
20250319,50,경방,KOSPI,6590,6590,6490,6580,5606
20250319,70,삼양홀딩스,KOSPI,60100,60500,59900,60200,18375
20250319,75,삼양홀딩스우,KOSPI,59200,59200,59000,59100,1350
20250319,80,하이트진로,KOSPI,19280,19460,19270,19430,94967
20250319,87,하이트진로2우B,KOSPI,15210,15240,15100,15220,318
20250319,100,유한양행,KOSPI,126700,128500,126100,127800,563585
20250319,105,유한양행우,KOSPI,110000,112700,110000,112000,6781
20250319,120,CJ대한통운,KOSPI,87900,90300,87600,88900,42373
20250319,140,하이트진로홀딩스,KOSPI,8590,8640,8550,8610,10041
20250319,145,하이트진로홀딩스우,KOSPI,10070,10170,10070,10170,207
20250319,150,두산,KOSPI,343000,343500,319000,321000,205041
20250319,155,두산우,KOSPI,152900,152900,145600,145600,18433
20250319,157,두산2우B,KOSPI,140000,140000,133500,135100,2212
20250319,180,성창기업지주,KOSPI,1287,1290,1277,1287,21151
20250319,210,DL,KOSPI,35250,36700,34850,35650,64607
20250319,215,DL우,KOSPI,19360,19790,19200,19470,151
20250319,220,유유제약,KOSPI,4440,4535,4405,4485,39497
20250319,225,유유제약1우,KOSPI,4790,4790,4717,4745,6442
20250319,227,유유제약2우B,KOSPI,9520,9520,9460,9480,459
20250319,230,일동홀딩스,KOSPI,6200,6430,6170,6320,31426
20250319,240,한국앤컴퍼니,KOSPI,16170,16640,16170,16580,173177
20250319,250,삼천당제약,KOSDAQ,189300,190500,180400,180500,407144
20250319,270,기아,KOSPI,96500,97200,95500,97100,1094424
20250319,300,DH오토넥스,KOSPI,1984,1984,1984,1984,0
20250319,320,노루홀딩스,KOSPI,14190,14260,13980,14260,13999
20250319,325,노루홀딩스우,KOSPI,28700,28700,28150,28700,163
20250319,370,한화손해보험,KOSPI,4220,4245,4190,4230,147329
20250319,390,삼화페인트,KOSPI,6500,6550,6400,6400,303492
20250319,400,롯데손해보험,KOSPI,1799,1815,1786,1808,86178
20250319,430,대원강업,KOSPI,3650,3670,3635,3640,38564
20250319,440,중앙에너비스,KOSDAQ,14050,14190,14000,14020,15026
20250319,480,CR홀딩스,KOSPI,5280,5290,5240,5280,12530
20250319,490,대동,KOSPI,12300,12380,12050,12080,275685
20250319,500,가온전선,KOSPI,52500,52800,51000,51300,53883
20250319,520,삼일제약,KOSPI,12100,12900,12040,12880,267799
20250319,540,흥국화재,KOSPI,3300,3340,3290,3330,28245
20250319,545,흥국화재우,KOSPI,5170,5170,5060,5070,6313
20250319,590,CS홀딩스,KOSPI,71500,73000,71300,72400,537
20250319,640,동아쏘시오홀딩스,KOSPI,99500,99500,97400,98000,14476
20250319,650,천일고속,KOSPI,38750,39200,38600,39200,198
20250319,660,SK하이닉스,KOSPI,202000,209500,201000,205500,3102000
20250319,670,영풍,KOSPI,495000,495000,483000,487000,3472
20250319,680,LS네트웍스,KOSPI,4130,4170,4045,4105,458422
20250319,700,유수홀딩스,KOSPI,5500,5510,5380,5460,11642
20250319,720,현대건설,KOSPI,33750,34200,33700,33800,537446
20250319,725,현대건설우,KOSPI,48500,49500,48500,49150,970
20250319,760,이화산업,KOSPI,10540,10790,10350,10500,4207
20250319,810,삼성화재,KOSPI,394500,398000,393000,397500,84233
