stock_code,stock_name,market_detail,market
005930,삼성전자,KOSPI,KOSPI
000660,SK하이닉스,KOSPI,KOSPI
373220,LG에너지솔루션,KOSPI,KOSPI
207940,삼성바이오로직스,KOSPI,KOSPI
005380,현대차,KOSPI,KOSPI
068270,셀트리온,KOSPI,KOSPI
005935,삼성전자우,KOSPI,KOSPI
000270,기아,KOSPI,KOSPI
012450,한화에어로스페이스,KOSPI,KOSPI
035420,NAVER,KOSPI,KOSPI
105560,KB금융,KOSPI,KOSPI
329180,HD현대중공업,KOSPI,KOSPI
005490,POSCO홀딩스,KOSPI,KOSPI
012330,현대모비스,KOSPI,KOSPI
042660,한화오션,KOSPI,KOSPI
055550,신한지주,KOSPI,KOSPI
138040,메리츠금융지주,KOSPI,KOSPI
028260,삼성물산,KOSPI,KOSPI
035720,카카오,KOSPI,KOSPI
000810,삼성화재,KOSPI,KOSPI
096770,SK이노베이션,KOSPI,KOSPI
086790,하나금융지주,KOSPI,KOSPI
011200,HMM,KOSPI,KOSPI
010130,고려아연,KOSPI,KOSPI
051910,LG화학,KOSPI,KOSPI
032830,삼성생명,KOSPI,KOSPI
034020,두산에너빌리티,KOSPI,KOSPI
259960,크래프톤,KOSPI,KOSPI
009540,HD한국조선해양,KOSPI,KOSPI
015760,한국전력,KOSPI,KOSPI
066570,LG전자,KOSPI,KOSPI
010140,삼성중공업,KOSPI,KOSPI
006400,삼성SDI,KOSPI,KOSPI
030200,KT,KOSPI,KOSPI
402340,SK스퀘어,KOSPI,KOSPI
024110,기업은행,KOSPI,KOSPI
267260,HD현대일렉트릭,KOSPI,KOSPI
316140,우리금융지주,KOSPI,KOSPI
064350,현대로템,KOSPI,KOSPI
017670,SK텔레콤,KOSPI,KOSPI
033780,KT&G,KOSPI,KOSPI
323410,카카오뱅크,KOSPI,KOSPI
003550,LG,KOSPI,KOSPI
003670,포스코퓨처엠,KOSPI,KOSPI
009150,삼성전기,KOSPI,KOSPI
000100,유한양행,KOSPI,KOSPI
034730,SK,KOSPI,KOSPI
047050,포스코인터내셔널,KOSPI,KOSPI
352820,하이브,KOSPI,KOSPI
018260,삼성에스디에스,KOSPI,KOSPI
086280,현대글로비스,KOSPI,KOSPI
047810,한국항공우주,KOSPI,KOSPI
042700,한미반도체,KOSPI,KOSPI
003490,대한항공,KOSPI,KOSPI
326030,SK바이오팜,KOSPI,KOSPI
272210,한화시스템,KOSPI,KOSPI
005830,DB손해보험,KOSPI,KOSPI
003230,삼양식품,KOSPI,KOSPI
443060,HD현대마린솔루션,KOSPI,KOSPI
010950,S-Oil,KOSPI,KOSPI
090430,아모레퍼시픽,KOSPI,KOSPI
010120,LS ELECTRIC,KOSPI,KOSPI
079550,LIG넥스원,KOSPI,KOSPI
021240,코웨이,KOSPI,KOSPI
267250,HD현대,KOSPI,KOSPI
180640,한진칼,KOSPI,KOSPI
005387,현대차2우B,KOSPI,KOSPI
006800,미래에셋증권,KOSPI,KOSPI
000150,두산,KOSPI,KOSPI
088980,맥쿼리인프라,KOSPI,KOSPI
161390,한국타이어앤테크놀로지,KOSPI,KOSPI
064400,LG씨엔에스,KOSPI,KOSPI
029780,삼성카드,KOSPI,KOSPI
051900,LG생활건강,KOSPI,KOSPI
450080,에코프로머티,KOSPI,KOSPI
005940,NH투자증권,KOSPI,KOSPI
241560,두산밥캣,KOSPI,KOSPI
011790,SKC,KOSPI,KOSPI
032640,LG유플러스,KOSPI,KOSPI
271560,오리온,KOSPI,KOSPI
034220,LG디스플레이,KOSPI,KOSPI
377300,카카오페이,KOSPI,KOSPI
298040,효성중공업,KOSPI,KOSPI
010620,HD현대미포,KOSPI,KOSPI
022100,포스코DX,KOSPI,KOSPI
071050,한국금융지주,KOSPI,KOSPI
016360,삼성증권,KOSPI,KOSPI
097950,CJ제일제당,KOSPI,KOSPI
028050,삼성E&A,KOSPI,KOSPI
454910,두산로보틱스,KOSPI,KOSPI
004020,현대제철,KOSPI,KOSPI
006260,LS,KOSPI,KOSPI
011070,LG이노텍,KOSPI,KOSPI
000720,현대건설,KOSPI,KOSPI
001040,CJ,KOSPI,KOSPI
009830,한화솔루션,KOSPI,KOSPI
307950,현대오토에버,KOSPI,KOSPI
000880,한화,KOSPI,KOSPI
035250,강원랜드,KOSPI,KOSPI
005385,현대차우,KOSPI,KOSPI
036570,엔씨소프트,KOSPI,KOSPI
462870,시프트업,KOSPI,KOSPI
138930,BNK금융지주,KOSPI,KOSPI
251270,넷마블,KOSPI,KOSPI
036460,한국가스공사,KOSPI,KOSPI
078930,GS,KOSPI,KOSPI
039490,키움증권,KOSPI,KOSPI
302440,SK바이오사이언스,KOSPI,KOSPI
175330,JB금융지주,KOSPI,KOSPI
128940,한미약품,KOSPI,KOSPI
011780,금호석유,KOSPI,KOSPI
011170,롯데케미칼,KOSPI,KOSPI
489790,한화비전,KOSPI,KOSPI
018880,한온시스템,KOSPI,KOSPI
026960,동서,KOSPI,KOSPI
031210,서울보증보험,KOSPI,KOSPI
066970,엘앤에프,KOSPI,KOSPI
004370,농심,KOSPI,KOSPI
383220,F&F,KOSPI,KOSPI
007660,이수페타시스,KOSPI,KOSPI
002380,KCC,KOSPI,KOSPI
278470,에이피알,KOSPI,KOSPI
004990,롯데지주,KOSPI,KOSPI
018670,SK가스,KOSPI,KOSPI
081660,휠라홀딩스,KOSPI,KOSPI
052690,한전기술,KOSPI,KOSPI
001440,대한전선,KOSPI,KOSPI
012750,에스원,KOSPI,KOSPI
088350,한화생명,KOSPI,KOSPI
111770,영원무역,KOSPI,KOSPI
082740,한화엔진,KOSPI,KOSPI
017800,현대엘리베이,KOSPI,KOSPI
139480,이마트,KOSPI,KOSPI
020560,아시아나항공,KOSPI,KOSPI
030000,제일기획,KOSPI,KOSPI
001450,현대해상,KOSPI,KOSPI
000990,DB하이텍,KOSPI,KOSPI
192820,코스맥스,KOSPI,KOSPI
000120,CJ대한통운,KOSPI,KOSPI
008930,한미사이언스,KOSPI,KOSPI
103140,풍산,KOSPI,KOSPI
204320,HL만도,KOSPI,KOSPI
051600,한전KPS,KOSPI,KOSPI
062040,산일전기,KOSPI,KOSPI
